公司,Data Field,2015/12/31,2016/12/30,2017/12/29
5512 力麒,資產總額,"32,385,222","34,569,588","36,112,646"
5514 三豐,資產總額,"2,237,187","2,379,943","2,850,214"
5516 雙喜,資產總額,"834,494","710,921","878,805"
5520 力泰,資產總額,"2,461,916","2,482,687","2,360,553"
5523 豐謙,資產總額,"3,272,481","4,020,203","3,166,886"
5529 志嘉,資產總額,"2,909,978","3,282,524","3,151,842"
5530 龍巖,資產總額,"47,509,021","50,976,428","53,637,579"
5536 聖暉,資產總額,"8,186,207","8,884,063","11,553,771"
5543 崇佑-KY,資產總額,"1,365,684","1,177,388","1,082,743"
5601 台聯櫃,資產總額,"1,860,091","1,839,163","1,841,100"
5603 陸海,資產總額,"2,381,468","2,321,973","2,201,215"
5604 中連貨,資產總額,"4,009,975","3,675,124","3,584,107"
5609 中菲行,資產總額,"4,037,114","4,247,754","4,211,812"
5701 劍湖山,資產總額,"3,940,789","3,761,499","3,456,068"
5703 亞都,資產總額,"1,476,666","1,425,375","1,432,379"
5704 老爺知,資產總額,"570,865","544,372","558,767"
5820 日盛金,資產總額,"268,509,166","285,011,594","295,957,224"
5864 致和證,資產總額,"4,097,384","4,377,053","5,133,992"
5878 台名,資產總額,"561,346","609,181","595,997"
5902 德記,資產總額,"1,184,515","1,227,546","1,103,939"
5903 全家,資產總額,"24,463,354","26,508,221","28,675,117"
5904 寶雅,資產總額,"5,669,727","6,463,830","7,529,129"
5905 南仁湖,資產總額,"4,688,021","4,473,546","4,179,993"
6015 宏遠證,資產總額,"11,239,084","9,605,668","11,512,723"
6016 康和證,資產總額,"33,948,449","28,631,599","34,361,946"
6020 大展證,資產總額,"4,506,279","4,380,118","4,735,247"
6021 大慶證,資產總額,"8,362,951","7,076,291","9,002,863"
6023 元大期,資產總額,"56,851,852","62,171,843","57,469,670"
6026 福邦證,資產總額,"3,562,374","4,071,262","4,747,996"
6101 寬魚國際,資產總額,"964,485","1,039,577","1,502,302"
6103 合邦,資產總額,"252,970","495,530","628,570"
6104 創惟,資產總額,"2,185,174","2,357,353","2,632,914"
6109 亞元,資產總額,"1,565,349","1,303,155","1,202,197"
6111 大宇資,資產總額,"720,829","934,815","891,197"
6113 亞矽,資產總額,"749,558","720,100","734,150"
6114 久威,資產總額,"1,534,619","1,942,047","1,881,530"
6118 建達,資產總額,"2,151,769","2,118,427","2,300,725"
6121 新普,資產總額,"43,703,290","44,234,126","45,362,668"
6122 擎邦,資產總額,"1,635,892","1,730,355","2,444,637"
6123 上奇,資產總額,"2,855,473","3,108,483","2,209,115"
6124 業強,資產總額,"3,082,597","3,434,023","3,051,377"
6125 廣運,資產總額,"15,603,384","13,912,523","14,352,004"
6126 信音,資產總額,"3,339,761","3,272,278","3,240,779"
6127 九豪,資產總額,"2,471,936","2,508,165","2,960,599"
6129 普誠,資產總額,"2,291,486","2,258,222","2,353,420"
6130 星寶國際,資產總額,"335,070","314,673","442,180"
6134 萬旭,資產總額,"1,594,254","1,418,892","1,750,716"
6138 茂達,資產總額,"2,634,520","3,114,236","3,509,137"
6140 訊達,資產總額,"831,562","863,638","922,852"
6143 振曜,資產總額,"10,549,963","11,181,824","11,035,625"
6144 得利影,資產總額,"782,988","685,873","653,472"
6146 耕興,資產總額,"4,360,610","4,530,661","4,632,133"
6147 頎邦,資產總額,"38,479,344","34,351,186","35,400,464"
6148 驊宏資,資產總額,"4,789,240","3,820,854","1,379,334"
6150 撼訊,資產總額,"1,220,165","1,429,784","1,805,373"
6151 晉倫,資產總額,"1,771,671","1,733,375","1,890,313"
6154 順發,資產總額,"1,779,779","1,900,006","1,772,727"
6156 松上,資產總額,"3,309,137","3,510,906","3,850,940"
6158 禾昌,資產總額,"3,649,076","3,640,904","3,564,198"
6160 欣技,資產總額,"1,201,258","1,218,452","1,176,997"
6161 捷波,資產總額,"2,223,104","1,875,757","1,843,247"
6163 華電網,資產總額,"3,287,597","3,735,199","3,775,398"
6167 久正,資產總額,"2,100,647","1,982,245","1,981,967"
6169 昱泉,資產總額,"584,493","428,455","500,261"
6170 統振,資產總額,"2,662,190","2,600,005","2,777,333"
6171 亞銳士,資產總額,"1,521,412","1,691,581","1,499,621"
6173 信昌電,資產總額,"3,719,577","3,993,231","4,428,834"
6174 安碁,資產總額,"669,562","740,659","773,718"
6175 立敦,資產總額,"3,647,750","3,548,664","3,895,757"
6179 亞通,資產總額,"1,063,320","1,573,416","2,234,366"
6180 橘子,資產總額,"8,316,676","7,910,166","8,531,538"
6182 合晶,資產總額,"15,574,896","12,978,936","16,008,604"
6185 幃翔,資產總額,"2,887,302","2,880,674","2,884,554"
6186 新潤,資產總額,"4,951,691","4,489,074","4,740,853"
6187 萬潤,資產總額,"2,191,496","2,519,137","2,535,336"
6188 廣明,資產總額,"18,756,533","16,886,077","20,732,276"
6190 萬泰科,資產總額,"3,298,223","3,542,430","4,068,940"
6194 育富,資產總額,"2,589,224","2,296,884","2,170,458"
6195 詩肯,資產總額,"1,546,947","1,663,369","1,584,222"
6198 凌泰,資產總額,"152,613","123,634","120,968"
6199 天品,資產總額,"727,793","764,491","785,741"
6203 海韻電,資產總額,"2,045,172","2,108,995","2,258,772"
6204 艾華,資產總額,"1,072,709","1,087,822","1,096,201"
6207 雷科,資產總額,"3,240,170","3,542,064","3,645,908"
6208 日揚,資產總額,"2,227,524","2,074,619","2,371,988"
6210 慶生,資產總額,"1,095,026","999,048","1,091,631"
6212 理銘,資產總額,"4,353,986","2,836,760","3,736,593"
6217 中探針,資產總額,"2,014,093","2,016,120","2,080,545"
6218 豪勉,資產總額,"1,563,878","1,601,396","1,460,678"
6219 富旺,資產總額,"6,329,044","6,904,341","7,576,224"
6220 岳豐,資產總額,"5,271,084","7,285,337","7,967,147"
6221 晉泰,資產總額,"1,556,055","1,911,217","1,899,326"
6222 上揚,資產總額,"558,449","318,186","237,612"
6223 旺矽,資產總額,"6,651,471","7,264,994","7,707,679"
6227 茂綸,資產總額,"4,359,534","4,218,370","3,326,094"
6228 全譜,資產總額,"431,910","404,073","417,784"
6229 研通,資產總額,"699,130","689,644","809,330"
6231 系微,資產總額,"964,633","874,606","849,466"
6233 旺玖,資產總額,"1,112,051","1,041,148","1,005,456"
6234 高僑,資產總額,"2,988,739","2,828,067","2,815,774"
6236 康呈,資產總額,"336,038","283,679","287,968"
6237 驊訊,資產總額,"1,635,959","1,745,765","1,700,126"
6238 勝麗,資產總額,"1,744,814","1,841,800","3,345,742"
6240 松崗,資產總額,"793,360","851,884","842,567"
6241 易通展,資產總額,"290,955","252,972","221,859"
6242 立康,資產總額,"526,729","554,768","596,061"
6244 茂迪,資產總額,"33,484,783","30,790,055","30,435,847"
6245 立端,資產總額,"4,287,579","4,819,981","5,181,080"
6246 臺龍,資產總額,"872,478","865,881","951,139"
6247 淇譽電,資產總額,"1,504,787","1,339,724","1,232,068"
6248 沛波,資產總額,"611,305","725,554","693,078"
6259 百徽,資產總額,"1,082,382","353,848","267,452"
6261 久元,資產總額,"7,832,661","7,786,950","7,803,353"
6263 普萊德,資產總額,"1,391,077","1,492,928","1,534,165"
6264 富裔,資產總額,"2,766,891","2,550,736","2,628,907"
6265 方土昶,資產總額,"2,526,772","2,587,895","2,034,429"
6266 泰詠,資產總額,"2,039,150","2,068,452","2,152,537"
6270 倍微,資產總額,"1,676,004","1,694,097","1,749,823"
6274 台燿,資產總額,"10,807,408","11,698,617","12,549,045"
6275 元山,資產總額,"1,775,202","2,107,146","1,935,983"
6276 安鈦克,資產總額,"916,407","656,106","561,746"
6279 胡連,資產總額,"5,715,472","5,933,128","6,974,841"
6284 佳邦,資產總額,"5,885,449","5,367,626","5,953,712"
6287 元隆,資產總額,"1,412,808","1,497,729","1,712,982"
6290 良維,資產總額,"5,878,071","5,574,448","6,091,276"
6291 沛亨,資產總額,"201,446","193,547","173,776"
6292 迅德,資產總額,"1,579,708","1,641,806","1,623,650"
6294 智基,資產總額,"783,288","952,381","1,035,049"
6404 通訊-KY,資產總額,"1,754,642","1,257,348","768,550"
6411 晶焱,資產總額,"2,132,480","2,403,912","2,906,424"
6417 韋僑,資產總額,"891,343","934,377","1,086,407"
6418 詠昇,資產總額,"722,302","721,515","740,653"
6419 京晨科,資產總額,"462,350","440,891","509,721"
6425 易發,資產總額,"2,052,911","1,784,152","2,322,622"
6426 統新,資產總額,"736,285","770,803","1,052,817"
6432 今展科,資產總額,"808,505","847,455","844,225"
6435 大中,資產總額,"822,938","982,892","1,098,680"
6438 迅得,資產總額,"2,128,444","2,393,439","3,537,524"
6441 廣錠,資產總額,"614,586","802,003","1,039,331"
6446 藥華藥,資產總額,"1,040,599","4,498,534","3,669,176"
6457 紘康,資產總額,"615,106","587,449","601,529"
6461 益得,資產總額,"1,547,736","2,097,494","2,242,709"
6462 神盾,資產總額,"1,568,704","2,493,058","3,627,668"
6465 威潤,資產總額,"503,734","432,782","590,902"
6469 大樹,資產總額,"868,888","1,279,907","1,537,115"
6470 宇智,資產總額,"1,224,194","1,345,240","1,142,692"
6472 保瑞,資產總額,"868,294","744,676","906,152"
6482 弘煜科,資產總額,"348,822","470,789","423,540"
6485 點序,資產總額,"925,411","1,191,566","1,063,489"
6486 互動,資產總額,"1,906,697","1,992,196","1,880,831"
6488 環球晶,資產總額,"23,815,760","60,560,237","70,232,337"
6492 生華科,資產總額,"746,308","532,483","1,625,896"
6494 九齊,資產總額,"502,035","619,821","673,254"
6496 科懋,資產總額,"1,036,892","1,530,541","1,679,184"
6497 亞獅康-KY　,資產總額,"896,162","1,737,872","1,522,338"
6499 益安,資產總額,"897,848","1,794,940","1,638,236"
6506 雙邦,資產總額,"1,978,668","2,121,527","2,087,875"
6508 惠光,資產總額,"2,914,426","2,918,099","2,952,568"
6509 聚和,資產總額,"5,028,053","5,138,926","4,997,598"
6510 精測,資產總額,"1,783,095","3,987,855","6,662,739"
6512 啟發電,資產總額,"609,460","587,016","564,293"
6514 芮特-KY,資產總額,"709,428","673,926","676,886"
6516 勤崴國際,資產總額,"385,388","434,320","437,497"
6523 達爾膚,資產總額,"1,068,585","2,244,170","2,041,192"
6530 創威,資產總額,"483,715","501,144","491,615"
6532 瑞耘,資產總額,"459,857","522,907","597,267"
6535 順藥,資產總額,"569,900","918,273","808,815"
6538 倉和,資產總額,"1,820,695","1,732,893","1,691,623"
6542 隆中,資產總額,"866,912","1,569,761","1,264,152"
6547 高端疫苗,資產總額,"1,653,491","1,817,408","2,136,492"
6548 長科*,資產總額,"809,380","2,332,953","9,099,936"
6556 勝品,資產總額,"1,934,489","1,968,052","1,885,089"
6560 欣普羅,資產總額,"355,544","332,324","360,730"
6561 是方,資產總額,"1,380,386","1,434,639","1,601,629"
6568 宏觀,資產總額,"860,419","1,340,896","1,437,432"
6569 醫揚,資產總額,"496,336","1,188,917","1,127,956"
6570 維田,資產總額,"408,782","462,242","653,232"
6574 霈方,資產總額,"390,115","544,367","838,011"
6576 逸達,資產總額,"368,620","658,093","703,096"
6577 勁豐,資產總額,"1,041,739","1,013,692","1,470,826"
6578 達邦蛋白,資產總額,"729,946","819,875","851,056"
6589 台康生技,資產總額,"773,244","1,471,730","1,695,371"
6590 普鴻,資產總額,"256,632","301,026","367,688"
6593 台灣銘板,資產總額,"838,575","848,613","854,039"
6594 展匯科,資產總額,"1,427","391,863","444,292"
6596 寬宏藝術,資產總額,"555,011","703,978","724,606"
6603 富強鑫,資產總額,"4,158,474","4,403,199","4,745,148"
6609 瀧澤科,資產總額,"3,723,820","3,374,144","3,827,843"
6612 奈米醫材,資產總額,"215,040","422,303","401,475"
6613 朋億,資產總額,"3,136,068","3,462,759","5,392,570"
6615 慧智,資產總額,"253,513","358,079","390,229"
6616 特昇-KY,資產總額,"333,170","386,682","412,691"
6624 萬年清,資產總額,"211,599","289,699","489,518"
6629 泰金-KY,資產總額,"1,172,096","784,438","943,856"
6640 均華,資產總額,"1,190,490","1,232,542","1,479,628"
6642 富致,資產總額,"433,520","438,745","510,036"
6643 M31,資產總額,"335,115","659,476","790,640"
6649 台生材,資產總額,"89,991","171,178","532,303"
6654 天正國際,資產總額,"441,967","702,526","993,681"
6662 樂斯科,資產總額,"284,848","371,018","384,808"
6664 群翊,資產總額,"2,572,046","2,349,862","2,812,354"
6667 信紘科,資產總額,"814,837","1,746,309","1,484,406"
6679 鈺太,資產總額,"324,605","461,874","700,304"
6680 鑫創電子,資產總額,"215,191","229,244","292,938"
6683 雍智科技,資產總額,"751,522","906,947","982,623"
6803 崑鼎,資產總額,"7,656,114","7,321,227","7,057,129"
7402 邑錡,資產總額,"419,465","410,431","363,713"
8024 佑華,資產總額,"803,147","805,273","791,144"
8027 鈦昇,資產總額,"1,872,570","1,732,429","1,957,602"
8032 光菱,資產總額,"2,297,387","2,678,516","2,456,157"
8034 榮群,資產總額,"490,642","507,024","592,102"
8038 長園科,資產總額,"1,192,531","1,280,131","1,112,371"
8040 九暘,資產總額,"996,579","947,093","945,541"
8042 金山電,資產總額,"6,092,463","6,408,132","7,018,703"
8043 蜜望實,資產總額,"3,950,426","3,910,556","3,933,900"
8044 網家,資產總額,"9,956,881","10,531,111","11,618,512"
8047 星雲,資產總額,"676,400","686,459","672,705"
8048 德勝,資產總額,"1,179,438","1,089,388","1,087,603"
8049 晶采,資產總額,"1,694,914","1,810,942","1,848,704"
8050 廣積,資產總額,"3,952,267","4,817,051","4,702,746"
8054 安國,資產總額,"2,681,251","2,686,187","2,609,563"
8059 凱碩,資產總額,"1,432,206","1,375,991","1,389,747"
8064 東捷,資產總額,"4,902,032","5,919,028","9,484,930"
8066 來思達,資產總額,"1,632,654","1,745,589","1,918,403"
8067 志旭,資產總額,"664,512","579,324","525,670"
8068 全達,資產總額,"623,156","1,736,962","2,140,823"
8069 元太,資產總額,"33,425,226","33,413,563","35,875,920"
8071 能率網通,資產總額,"1,997,497","3,337,021","3,214,657"
8074 鉅橡,資產總額,"1,838,212","2,145,855","2,648,832"
8076 伍豐,資產總額,"7,258,000","6,820,605","6,801,089"
8077 洛碁,資產總額,"1,901,298","1,986,051","2,469,625"
8080 永利聯合,資產總額,"1,298,466","745,071","914,608"
8083 瑞穎,資產總額,"1,423,906","1,450,716","1,508,187"
8084 巨虹,資產總額,"1,319,186","1,016,737","1,623,003"
8085 福華,資產總額,"3,316,689","3,561,883","3,692,587"
8086 宏捷科,資產總額,"4,070,578","3,189,082","3,075,402"
8087 華鎂鑫,資產總額,"436,403","412,101","414,675"
8088 品安,資產總額,"1,061,933","1,155,501","1,259,950"
8091 翔名,資產總額,"3,680,003","3,133,359","2,822,910"
8092 建暐,資產總額,"771,345","849,914","828,864"
8093 保銳,資產總額,"731,848","729,448","734,123"
8096 擎亞,資產總額,"7,010,624","8,021,217","6,446,336"
8097 常珵,資產總額,"454,673","501,726","625,016"
8099 大世科,資產總額,"2,088,064","2,055,271","1,935,165"
8107 大億金茂,資產總額,"3,134,103","2,625,532","2,430,775"
8109 博大,資產總額,"2,485,970","2,544,380","2,732,970"
8111 立碁,資產總額,"1,746,004","1,714,123","2,049,475"
8121 越峰,資產總額,"5,740,065","4,477,031","3,707,435"
8147 正淩,資產總額,"905,684","872,409","890,228"
8155 博智,資產總額,"1,828,200","2,094,256","2,338,868"
8171 天宇,資產總額,"1,537,940","1,463,482","794,729"
8176 智捷,資產總額,"1,723,903","1,462,363","1,432,220"
8182 加高,資產總額,"4,207,671","4,403,376","4,131,410"
8183 精星,資產總額,"2,738,353","3,258,274","3,453,603"
8234 新漢,資產總額,"4,608,550","5,236,714","5,434,653"
8240 華宏,資產總額,"9,690,947","8,517,732","7,907,819"
8255 朋程,資產總額,"3,757,113","4,121,831","4,704,996"
8277 商丞,資產總額,"1,496,769","1,339,731","1,018,428"
8279 生展,資產總額,"815,518","1,051,171","1,164,040"
8287 英格爾,資產總額,"5,609,070","6,381,527","3,343,076"
8289 泰藝,資產總額,"2,056,950","1,921,923","1,890,943"
8291 尚茂,資產總額,"776,808","784,790","754,273"
8299 群聯,資產總額,"28,418,787","31,975,639","35,126,604"
8342 益張,資產總額,"1,506,918","1,556,086","1,510,204"
8349 恒耀,資產總額,"10,466,114","10,571,533","12,146,863"
8354 冠好,資產總額,"2,520,428","2,918,400","2,999,115"
8358 金居,資產總額,"4,966,310","5,726,799","7,801,913"
8383 千附,資產總額,"4,571,158","4,644,762","4,936,428"
8390 金益鼎,資產總額,"2,947,016","2,788,051","3,164,361"
8401 白紗科,資產總額,"1,576,011","1,496,232","1,556,449"
8403 盛弘,資產總額,"2,803,144","3,103,292","3,361,371"
8406 金可-KY,資產總額,"15,931,312","17,284,019","18,948,925"
8409 商之器,資產總額,"526,781","456,793","415,491"
8410 森田,資產總額,"1,544,810","1,661,163","1,721,709"
8415 大國鋼,資產總額,"13,852,445","13,454,473","14,870,897"
8416 實威,資產總額,"1,040,561","1,062,453","1,162,031"
8418 捷必勝-KY,資產總額,"5,010,807","4,206,403","3,677,285"
8420 明揚,資產總額,"944,138","1,025,339","1,017,176"
8421 旭源,資產總額,"1,911,361","2,032,108","2,606,423"
8423 保綠-KY,資產總額,"635,795","581,221","561,795"
8424 惠普,資產總額,"1,021,041","1,023,242","1,202,581"
8426 紅木-KY,資產總額,"1,551,885","1,670,966","1,678,376"
8431 匯鑽科,資產總額,"1,594,689","1,545,149","1,471,625"
8432 東生華,資產總額,"1,461,230","1,567,234","1,281,703"
8433 弘帆,資產總額,"1,831,925","2,293,823","2,414,020"
8435 鉅邁,資產總額,"899,619","890,253","926,832"
8436 大江,資產總額,"3,168,144","3,901,471","4,840,683"
8437 大地-KY,資產總額,"1,722,628","2,267,533","2,736,306"
8440 綠電,資產總額,"477,674","500,936","557,542"
8444 綠河-KY,資產總額,"4,160,212","5,003,107","8,670,206"
8446 華研,資產總額,"1,869,387","2,396,190","2,567,093"
8450 霹靂,資產總額,"2,224,079","2,279,016","2,122,457"
8455 大拓-KY,資產總額,"1,009,520","1,109,050","1,202,575"
8472 夠麻吉,資產總額,"1,041,779","1,320,507","1,293,066"
8476 台境,資產總額,"906,505","1,270,205","1,480,009"
8477 創業家,資產總額,"511,302","801,234","974,311"
8489 三貝德,資產總額,"421,734","481,614","1,315,711"
8905 裕國,資產總額,"4,387,824","3,792,886","3,624,874"
8906 花王,資產總額,"473,232","460,815","468,629"
8908 欣雄,資產總額,"3,503,381","3,781,170","4,315,696"
8913 全銓,資產總額,"1,876,069","1,785,695","1,196,506"
8916 光隆,資產總額,"6,049,953","6,212,079","6,615,268"
8917 欣泰,資產總額,"3,312,799","3,803,377","4,111,741"
8921 沈氏,資產總額,"1,016,022","1,004,635","982,474"
8923 時報,資產總額,"723,176","741,531","765,680"
8924 大田,資產總額,"3,688,106","3,112,238","4,085,090"
8927 北基,資產總額,"3,298,884","3,578,037","3,700,889"
8928 鉅明,資產總額,"1,743,469","1,731,928","1,777,674"
8929 富堡,資產總額,"1,310,292","1,394,358","1,531,790"
8930 青鋼,資產總額,"1,625,518","1,545,965","1,634,525"
8931 大汽電,資產總額,"2,782,094","2,893,189","2,905,176"
8932 宏大,資產總額,"1,395,149","1,375,992","1,622,859"
8933 愛地雅,資產總額,"6,265,134","5,697,887","6,123,847"
8934 衡平,資產總額,"982,397","997,936","1,059,574"
8935 邦泰,資產總額,"1,638,539","1,425,992","1,425,422"
8936 國統,資產總額,"11,289,565","11,592,189","11,764,814"
8937 合騏,資產總額,"887,808","821,591","793,569"
8938 明安,資產總額,"5,926,027","6,242,702","6,625,636"
8941 關中,資產總額,"1,749,700","1,557,252","1,520,985"
8942 森鉅,資產總額,"9,892,388","10,521,213","11,182,314"
911613 特藝-DR,資產總額,"4,123,706",,
9949 琉園,資產總額,"845,071","712,935","658,276"
9950 萬國通,資產總額,"3,674,708","3,717,624","3,918,596"
9951 皇田,資產總額,"3,981,635","4,765,403","5,544,695"
9960 邁達康,資產總額,"714,268","688,495","677,985"
9962 有益,資產總額,"1,099,927","1,126,235","1,139,624"
